0.050000, -0.005021, -0.000845, -0.029971, 0.999538,
0.100000, -0.004291, -0.001958, -0.029754, 0.999546,
0.150000, -0.004992, -0.002571, -0.029678, 0.999544,
0.200000, -0.004498, -0.002478, -0.029459, 0.999553,
0.250000, -0.003967, -0.002672, -0.029312, 0.999559,
0.300000, -0.003292, -0.003486, -0.028478, 0.999583,
0.350000, -0.002599, -0.004315, -0.027349, 0.999613,
0.400000, -0.001905, -0.005309, -0.025763, 0.999652,
0.450000, -0.001441, -0.006675, -0.024009, 0.999688,
0.500000, -0.001495, -0.007299, -0.022952, 0.999709,
0.550000, -0.001937, -0.007473, -0.022120, 0.999726,
0.600000, -0.002417, -0.007371, -0.021521, 0.999738,
0.650000, -0.002918, -0.007639, -0.020685, 0.999753,
0.700000, -0.003783, -0.007614, -0.020091, 0.999762,
0.750000, -0.004539, -0.007605, -0.019185, 0.999777,
0.800000, -0.005451, -0.007689, -0.018201, 0.999790,
0.850000, -0.006000, -0.008235, -0.017436, 0.999796,
0.900000, -0.006482, -0.008695, -0.016899, 0.999798,
0.950000, -0.007075, -0.008967, -0.016059, 0.999806,
1.000000, -0.007653, -0.009234, -0.015371, 0.999810,
1.050000, -0.008228, -0.009137, -0.014765, 0.999815,
1.100000, -0.008604, -0.009782, -0.014221, 0.999814,
1.150000, -0.009238, -0.009960, -0.013764, 0.999813,
1.200000, -0.009546, -0.009954, -0.013692, 0.999811,
1.250000, -0.010083, -0.010308, -0.013155, 0.999809,
1.300000, -0.010664, -0.010754, -0.012850, 0.999803,
1.350000, -0.010940, -0.011214, -0.012770, 0.999796,
1.400000, -0.011309, -0.011471, -0.012697, 0.999790,
1.450000, -0.012219, -0.012274, -0.012621, 0.999770,
1.500000, -0.013127, -0.013085, -0.012467, 0.999750,
1.550000, -0.014307, -0.013634, -0.012692, 0.999724,
1.600000, -0.015382, -0.014353, -0.013154, 0.999692,
1.650000, -0.017097, -0.014720, -0.013456, 0.999655,
1.700000, -0.018538, -0.015001, -0.013753, 0.999621,
1.750000, -0.020098, -0.015834, -0.013810, 0.999577,
1.800000, -0.021492, -0.016381, -0.013569, 0.999543,
1.850000, -0.022716, -0.017028, -0.013553, 0.999505,
1.900000, -0.023901, -0.017748, -0.013929, 0.999460,
1.950000, -0.025020, -0.018375, -0.013996, 0.999420,
2.000000, -0.026204, -0.019260, -0.014452, 0.999367,
2.050000, -0.027849, -0.019695, -0.014369, 0.999315,
2.100000, -0.029409, -0.020485, -0.014669, 0.999250,
2.150000, -0.030904, -0.021181, -0.014743, 0.999189,
2.200000, -0.032978, -0.022142, -0.014810, 0.999101,
2.250000, -0.034588, -0.022842, -0.014802, 0.999031,
2.300000, -0.036389, -0.023360, -0.014640, 0.998957,
2.350000, -0.038097, -0.024248, -0.014546, 0.998874,
